title,release_date,genres,language,description,poster_path,tagline,runtime,rating,vote_count,movieId
A Christmas Carol,1938-12-16,Drama|Fantasy|Family,en,"Miser Ebenezer Scrooge is awakened on Christmas Eve by spirits who reveal to him his own miserable existence, what opportunities he wasted in his youth, his current cruelties, and the dire fate that awaits him if he does not change his ways. Scrooge is faced with his own story of growing bitterness and meanness, and must decide what his own future will hold: death or redemption.",https://image.tmdb.org/t/p/w500/cvr7x3CjBMsHv2GptR0tcFddMSa.jpg,"Greater than ""David Copperfield""!",69.0,7.0,144.0,633
Microcosmos,1996-09-06,Documentary,fr,"A documentary of insect life in meadows and ponds, using incredible close-ups, slow motion, and time-lapse photography. It includes bees collecting nectar, ladybugs eating mites, snails mating, spiders wrapping their catch, a scarab beetle relentlessly pushing its ball of dung uphill, endless lines of caterpillars, an underwater spider creating an air bubble to live in, and a mosquito hatching.",https://image.tmdb.org/t/p/w500/OPoiGrzNr5FWoczXH5Gs1cReec.jpg,15 years of research. 2 years of equipment design. 3 years of shooting. One great movie to restore your sense of wonder.,80.0,7.5,237.0,634
The Fog,1980-02-07,Horror,en,"Strange things begin to occurs as a tiny California coastal town prepares to commemorate its centenary. Inanimate objects spring eerily to life; Rev. Malone stumbles upon a dark secret about the town's founding; radio announcer Stevie witnesses a mystical fire; and hitchhiker Elizabeth discovers the mutilated corpse of a fisherman. Then a mysterious iridescent fog descends upon the village, and more people start to die.",https://image.tmdb.org/t/p/w500/12EeSboRofP3CI4SPmMFNNXCbtY.jpg,What you can't see won't hurt you...it'll kill you!,90.0,6.724,1625.0,635
Escape from New York,1981-05-23,Science Fiction|Action,en,"In a world ravaged by crime, the entire island of Manhattan has been converted into a walled prison where brutal prisoners roam free. After the US president crash-lands inside, war hero Snake Plissken has 24 hours to bring him back.",https://image.tmdb.org/t/p/w500/vH9llaphjAssRGi0k7e75tD40Ce.jpg,"1997. New York City is a walled, maximum security prison. Breaking out is impossible. Breaking in is insane.",99.0,7.052,3310.0,636
Making a Monster Movie: Inside 'the Howling',1981-01-01,Documentary|Horror|TV Movie,en,Making-of featurette for 'The Howling' (1981),https://image.tmdb.org/t/p/w500/vs0CWjoGe5jocPRD1XqNjxGcfv9.jpg,,8.0,0.0,0.0,637
The Return of Martin Guerre,1982-05-14,Drama|History,fr,"Village of Artigat, southern France, summer 1542, during the reign of Francis I. Martin Guerre and Bertrande de Rols marry. A few years later, accused of having committed a robbery, Martin suddenly disappears. When, almost a decade later, a man arrives in Artigat claiming to be Martin, the Guerre family recognizes him as such; but doubts soon arise about his true identity.",https://image.tmdb.org/t/p/w500/74wCIIhCSxX63nD9pu39QwgX6Lv.jpg,Truth and falsehood have both alike countenances...,107.0,6.7,211.0,638
The Tin Drum,1979-05-02,Drama|History|War,de,"Oskar Matzerath is a very unusual boy. Refusing to leave the womb until promised a tin drum by his mother, Agnes, Oskar is reluctant to enter a world he sees as filled with hypocrisy and injustice, and vows on his third birthday to never grow up. Miraculously, he gets his wish. As the Nazis rise to power in Danzig, Oskar wills himself to remain a child, beating his tin drum incessantly and screaming in protest at the chaos surrounding him.",https://image.tmdb.org/t/p/w500/tm408GMyQqfqFJ7MKCkwc5uQ3wi.jpg,"A savage, sweeping epic of society in chaos.",162.0,6.944,494.0,639
"The Cook, the Thief, His Wife & Her Lover",1989-10-13,Crime|Drama,en,The wife of an abusive criminal finds solace in the arms of a kind regular guest in her husband's restaurant.,https://image.tmdb.org/t/p/w500/fNkl7o1VQQqy1nEX9x56CDHULmr.jpg,Lust...Murder...Dessert. Bon Appetit!,124.0,7.349,659.0,640
Paths of Glory,1957-10-25,War|Drama|History,en,A commanding officer defends three scapegoats on trial for a failed offensive that occurred within the French Army in 1916.,https://image.tmdb.org/t/p/w500/tJXwtzOSNUC8dxJfrdvkNtGrrgW.jpg,It explodes in the no-man's land no picture ever dared cross before!,88.0,8.258,3064.0,641
The Grifters,1990-08-08,Crime|Drama,en,"A small-time conman has his loyalties torn between his estranged mother and his new girlfriend, both of whom are high-stakes grifters with their own angles to play.",https://image.tmdb.org/t/p/w500/zMpGfkiDIdg5bB7WGcAT3Fdrfpt.jpg,Seduction. Betrayal. Murder. Who’s conning who?,110.0,6.505,438.0,642
The Innocent,1994-09-25,TV Movie,en,"The owner of a drugstore is killed in a hold-up. The only witness who saw one of the murderers without his mask is Gregory, a nine year old autistic boy. Cop Barlow is sure they'll try to silence him. He tries to get him to draw a picture of the man he saw.",https://image.tmdb.org/t/p/w500/yP7P64lvg4do8Kro5N9yHUkCNqn.jpg,,96.0,5.2,4.0,643
The Thin Blue Line,1988-08-28,Crime|Documentary,en,Errol Morris's unique documentary dramatically re-enacts the crime scene and investigation of a police officer's murder in Dallas.,https://image.tmdb.org/t/p/w500/4w4BJk3l8y9gYwPPLRs6uPHOmGL.jpg,,103.0,7.674,387.0,644
Paris Is Burning,1991-03-13,Documentary,en,"Where does voguing come from, and what, exactly, is throwing shade? This landmark documentary provides a vibrant snapshot of the 1980s through the eyes of New York City's African American and Latinx Harlem drag-ball scene. Made over seven years, PARIS IS BURNING offers an intimate portrait of rival fashion ""houses,"" from fierce contests for trophies to house mothers offering sustenance in a world rampant with homophobia, transphobia, racism, AIDS, and poverty. Featuring legendary voguers, drag queens, and trans women — including Willi Ninja, Pepper LaBeija, Dorian Corey, and Venus Xtravaganza.",https://image.tmdb.org/t/p/w500/90rCWH41mj9hjHUEy2SOHfuAOl3.jpg,Having a ball… Wish you were here,78.0,7.984,502.0,645
Once Upon a Time in the West,1968-12-21,Drama|Western,it,"As the railroad builders advance unstoppably through the Arizona desert on their way to the sea, Jill arrives in the small town of Flagstone with the intention of starting a new life.",https://image.tmdb.org/t/p/w500/qbYgqOczabWNn2XKwgMtVrntD6P.jpg,There were three men in her life. One to take her… one to love her —and one to kill her.,166.0,8.284,4581.0,646
Ran,1985-06-01,Action|Drama|History,ja,Shakespeare's King Lear is reimagined as a singular historical epic set in sixteenth-century Japan where an ageing warlord divides his kingdom between his three sons.,https://image.tmdb.org/t/p/w500/jQnUtWaHYfqnXPOIf77K7Ycqk4M.jpg,"In a mad world, only the mad are sane.",160.0,8.051,1649.0,647
The Quiet Man,1952-07-21,Romance|Comedy|Drama,en,"An American man returns to the village of his birth in Ireland, where he finds love and conflict.",https://image.tmdb.org/t/p/w500/u3B1hVKHE56yBRoxF3Nk9uxHdYN.jpg,Action... Excitement... Romance... Fill the Screen!,129.0,7.315,559.0,648
Once Upon a Time in America,1984-05-23,Drama|Crime,en,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life.",https://image.tmdb.org/t/p/w500/i0enkzsL5dPeneWnjl1fCWm6L7k.jpg,"Crime, passion and lust for power.",229.0,8.411,5665.0,649
The Seventh Seal,1957-02-16,Fantasy|Drama,sv,"When disillusioned Swedish knight Antonius Block returns home from the Crusades to find his country in the grips of the Black Death, he challenges Death to a chess match for his life. Tormented by the belief that God does not exist, Block sets off on a journey, meeting up with traveling players Jof and his wife, Mia, and becoming determined to evade Death long enough to commit one redemptive act while he still lives.",https://image.tmdb.org/t/p/w500/wcZ21zrOsy0b52AfAF50XpTiv75.jpg,The story of a challenge to death.,96.0,8.183,3131.0,650
Glory,1989-12-15,Drama|History|War,en,"Robert Gould Shaw leads the US Civil War's first all-black volunteer company, fighting prejudices of both his own Union army and the Confederates.",https://image.tmdb.org/t/p/w500/pGDzBjZvzmSCIEduQBfESLMiwtp.jpg,Their innocence. Their heritage. Their lives.,122.0,7.474,1690.0,651
Rosencrantz & Guildenstern Are Dead,1991-02-08,Comedy|Drama,en,"Two minor characters from the play ""Hamlet"" stumble around unaware of their scripted lives and unable to deviate from them.",https://image.tmdb.org/t/p/w500/6RI9sYpRxIdqlmsF6kBOiF7Bxug.jpg,A man talking sense to himself is no madder than a man talking nonsense not to himself.,117.0,6.899,303.0,652
Touch of Evil,1958-03-30,Crime|Thriller,en,"When a car bomb explodes on the American side of the U.S./Mexico border, Mexican drug enforcement agent Miguel Vargas begins his investigation, along with American police captain Hank Quinlan. When Vargas begins to suspect that Quinlan and his shady partner, Menzies, are planting evidence to frame an innocent man, his investigations into their possible corruption quickly put himself and his new bride, Susie, in jeopardy.",https://image.tmdb.org/t/p/w500/1pvRgmfBaoMczIJBOi9gCOZ4FMC.jpg,The strangest vengeance ever planned!,111.0,7.761,1498.0,653
Chinatown,1974-06-20,Crime|Drama|Mystery|Thriller,en,"Private eye Jake Gittes lives off of the murky moral climate of sunbaked, pre-World War II Southern California. Hired by a beautiful socialite to investigate her husband's extra-marital affair, Gittes is swept into a maelstrom of double dealings and deadly deceits, uncovering a web of personal and political scandals that come crashing together.",https://image.tmdb.org/t/p/w500/kZRSP3FmOcq0xnBulqpUQngJUXY.jpg,You get tough. You get tender. You get close to each other. Maybe you even get close to the truth.,130.0,7.917,3983.0,654
Stand by Me,1986-08-08,Crime|Drama,en,"After learning that a boy their age has been accidentally killed near their rural homes, four Oregon boys decide to go see the body. On the way, Gordie,  Vern, Chris and Teddy encounter a mean junk man and a marsh full of leeches, as they also learn more about one another and their very different home lives. Just a lark at first, the boys' adventure evolves into a defining event in their lives.",https://image.tmdb.org/t/p/w500/vz0w9BSehcqjDcJOjRaCk7fgJe7.jpg,"For some, it's the last real taste of innocence, and the first real taste of life.",89.0,7.854,6118.0,655
M,1931-05-11,Drama|Thriller|Crime,de,"In this classic German thriller, Hans Beckert, a serial killer who preys on children, becomes the focus of a massive Berlin police manhunt. Beckert's heinous crimes are so repellant and disruptive to city life that he is even targeted by others in the seedy underworld network. With both cops and criminals in pursuit, the murderer soon realizes that people are on his trail, sending him into a tense, panicked attempt to escape justice.",https://image.tmdb.org/t/p/w500/bTdZk3q2DWpBRnLiaaItKFWOVhI.jpg,Who is the murderer?,111.0,8.074,2299.0,656
The Manchurian Candidate,1962-10-24,Thriller|Drama,en,"Near the end of the Korean War, a platoon of U.S. soldiers is captured by communists and brainwashed. Following the war, the platoon is returned home, and Sergeant Raymond Shaw is lauded as a hero by the rest of his platoon. However, the platoon commander, Captain Bennett Marco, finds himself plagued by strange nightmares and soon races to uncover a terrible plot.",https://image.tmdb.org/t/p/w500/h0mkK00GjBCJoBYm3yvPdkzlIyV.jpg,"When you've seen it all, you'll swear there's never been anything like it!",126.0,7.5,745.0,657
Pump Up the Volume,1990-08-22,Music|Drama,en,"Mark Hunter, a lonely high school student, uses his shortwave radio to moonlight as the popular pirate DJ ""Hard Harry."" When his show gets blamed for a teen committing suicide, the students clash with high school faculty and the authorities.",https://image.tmdb.org/t/p/w500/s1SyKrARJG2R7FyS4zkNdaekLAW.jpg,TALK HARD. STEAL THE AIR.,105.0,7.067,374.0,658
Arsenic and Old Lace,1944-09-01,Comedy|Crime,en,"Mortimer Brewster, a newspaper drama critic, playwright, and author known for his diatribes against marriage, suddenly falls in love and gets married;  but when he makes a quick trip home to tell his two maiden aunts, he finds out his aunts' hobby - killing lonely old men and burying them in the cellar!",https://image.tmdb.org/t/p/w500/xG1GEEQGgExKl0WT5sRo1Arst5D.jpg,She Passed Out On Cary! No Wonder . . . She's just discovered his favorite aunts have poisoned their 13th gentleman friend!,118.0,7.638,981.0,659
Fried Green Tomatoes,1991-12-27,Drama|Comedy,en,"Amidst her own personality crisis, a southern housewife meets an outgoing old woman who tells her the story of Idgie Threadgoode and Ruth Jamison, two young women who experienced hardships and love in 1920s Whistle Stop, Alabama.",https://image.tmdb.org/t/p/w500/g71l1vbJwyAAYk8zKCkIQQ58qcb.jpg,The secret of life? The secret's in the sauce.,130.0,7.702,1397.0,660
High Noon,1952-06-09,Western|Drama,en,"Will Kane, the sheriff of a small town in New Mexico, learns a notorious outlaw he put in jail has been freed, and will be arriving on the noon train. Knowing the outlaw and his gang are coming to kill him, Kane is determined to stand his ground, so he attempts to gather a posse from among the local townspeople.",https://image.tmdb.org/t/p/w500/qETSMQ4IXBSAS409Z9OL0ppXWTW.jpg,The story of a man who was too proud to run!,85.0,7.673,1492.0,661
